Gemeente,Provincie,inw-2025,Zorgkantoor regio,Regiobeeld,RSO,RSO NL lid,ROS,RegioPlus
Brummen,Gelderland,21554,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Nee,Proscoop,WGV Zorg & Welzijn
Epe,Gelderland,33746,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Nee,Proscoop,WGV Zorg & Welzijn
Heerde,Gelderland,19296,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Nee,Proscoop,WGV Zorg & Welzijn
Lochem,Gelderland,34245,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Nee,Proscoop,WGV Zorg & Welzijn
Zutphen,Gelderland,49332,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Apeldoorn-Zutphen,Nee,Proscoop,WGV Zorg & Welzijn
Arnhem,Gelderland,171916,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Doesburg,Gelderland,11192,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Duiven,Gelderland,24881,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Lingewaard,Gelderland,47807,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Overbetuwe,Gelderland,49241,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Renkum,Gelderland,31452,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Rheden,Gelderland,43951,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Rozendaal,Gelderland,1841,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Wageningen,Gelderland,42946,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Westervoort,Gelderland,15231,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Zevenaar,Gelderland,45528,Arnhem,Centraal Gelderland,Arnhem,Nee,Proscoop,Utrechtzorg/WGV/WZW
Noordoostpolder,Flevoland,51824,Flevoland,Flevoland,Flevoland Noord,Nee,Proscoop,Flever
Urk,Flevoland,22389,Flevoland,Flevoland,Flevoland Noord,Nee,Proscoop,Flever
Bodegraven-Reeuwijk,Zuid-Holland,37228,Midden-Holland,Midden-Holland,Gedeelde Zorg Midden-Holland,Nee,Reos,ZWconnect
Gouda,Zuid-Holland,77600,Midden-Holland,Midden-Holland,Gedeelde Zorg Midden-Holland,Nee,Reos,ZWconnect
Krimpenerwaard,Zuid-Holland,57950,Midden-Holland,Midden-Holland,Gedeelde Zorg Midden-Holland,Nee,Reos,ZWconnect
Waddinxveen,Zuid-Holland,35470,Midden-Holland,Midden-Holland,Gedeelde Zorg Midden-Holland,Nee,Reos,ZWconnect
Zuidplas,Zuid-Holland,49088,Midden-Holland,Midden-Holland,Gedeelde Zorg Midden-Holland,Nee,Samergo,ZWconnect
Barneveld,Gelderland,63668,Arnhem,Gelderse Vallei,Gelderse Vallei,Nee,Proscoop,Utrechtzorg/WGV/WZW
Ede,Gelderland,125049,Arnhem,Gelderse Vallei,Gelderse Vallei,Nee,Proscoop,Utrechtzorg/WGV/WZW
Scherpenzeel,Gelderland,10641,Arnhem,Gelderse Vallei,Gelderse Vallei,Nee,Proscoop,Utrechtzorg/WGV/WZW
Renswoude,Utrecht,5885,Utrecht/Midden-Nederland,Gelderse Vallei / Utrecht,Gelderse Vallei,Nee,Mura Zorgadvies,Utrechtzorg
Elburg,Gelderland,23981,Zwolle,Noord-Veluwe en Zeewolde,Gezond Veluwe,Nee,Proscoop,WGV Zorg & Welzijn
Ermelo,Gelderland,28209,Zwolle,Noord-Veluwe en Zeewolde,Gezond Veluwe,Nee,Proscoop,WGV Zorg & Welzijn
Harderwijk,Gelderland,50560,Zwolle,Noord-Veluwe en Zeewolde,Gezond Veluwe,Nee,Proscoop,WGV Zorg & Welzijn
Nunspeet,Gelderland,29681,Zwolle,Noord-Veluwe en Zeewolde,Gezond Veluwe,Nee,Proscoop,WGV Zorg & Welzijn
Oldebroek,Gelderland,24507,Zwolle,Noord-Veluwe en Zeewolde,Gezond Veluwe,Nee,Proscoop,WGV Zorg & Welzijn
Putten,Gelderland,25049,Zwolle,Noord-Veluwe en Zeewolde,Gezond Veluwe,Nee,Proscoop,WGV Zorg & Welzijn
Zeewolde,Flevoland,24579,Flevoland,Noord-Veluwe en Zeewolde,Gezond Veluwe,Nee,Proscoop,Flever
Buren,Gelderland,28045,Nijmegen,Rivierenland,Rivierenland,Nee,Mura Zorgadvies,WZW/Zorg aan Zet
Culemborg,Gelderland,30387,Nijmegen,Rivierenland,Rivierenland,Nee,Mura Zorgadvies,WZW/Zorg aan Zet
Neder-Betuwe,Gelderland,25895,Nijmegen,Rivierenland,Rivierenland,Nee,Mura Zorgadvies,WZW/Zorg aan Zet
Tiel,Gelderland,42581,Nijmegen,Rivierenland,Rivierenland,Nee,Mura Zorgadvies,WZW/Zorg aan Zet
West Betuwe,Gelderland,53406,Nijmegen,Rivierenland,Rivierenland,Nee,Mura Zorgadvies,WZW/Zorg aan Zet
Delft,Zuid-Holland,110201,Westland Schieland Delfland,Westland Schieland Delfland,Westland Schieland Delfland (RIGA),Nee,Zel,DeRotterdamseZorg/Zwconnect
Midden-Delfland,Zuid-Holland,19371,Westland Schieland Delfland,Westland Schieland Delfland,Westland Schieland Delfland (RIGA),Nee,Zel,DeRotterdamseZorg/Zwconnect
Pijnacker-Nootdorp,Zuid-Holland,58706,Westland Schieland Delfland,Westland Schieland Delfland,Westland Schieland Delfland (RIGA),Nee,Zel,DeRotterdamseZorg/Zwconnect
Westland,Zuid-Holland,118334,Westland Schieland Delfland,Westland Schieland Delfland,Westland Schieland Delfland (RIGA),Nee,Zel,DeRotterdamseZorg/Zwconnect
Borsele,Zeeland,23148,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Goes,Zeeland,40388,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Hulst,Zeeland,27363,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Kapelle,Zeeland,13150,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Middelburg (Z.),Zeeland,50400,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Noord-Beveland,Zeeland,8063,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Reimerswaal,Zeeland,23416,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Schouwen-Duiveland,Zeeland,34425,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Sluis,Zeeland,23188,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Terneuzen,Zeeland,55902,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Tholen,Zeeland,27036,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Veere,Zeeland,21976,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Vlissingen,Zeeland,45906,Zeeland,Zeeland,Zeeuwse Zorg Coalitie,Nee,Robuust,ViaZorg
Dordrecht,Zuid-Holland,123029,Waardenland,Waardenland,Drechtzorg,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Papendrecht,Zuid-Holland,32261,Waardenland,Waardenland,Drechtzorg,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Sliedrecht,Zuid-Holland,26567,Waardenland,Waardenland,Drechtzorg,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Zwijndrecht,Zuid-Holland,44842,Waardenland,Waardenland,Drechtzorg,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Hendrik-Ido-Ambacht,Zuid-Holland,33090,Waardenland,Waardenland,Drechtzorg,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Alblasserdam,Zuid-Holland,20251,Waardenland,Waardenland,Waardenland,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Gorinchem,Zuid-Holland,39048,Waardenland,Waardenland,Waardenland,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Hardinxveld-Giessendam,Zuid-Holland,19439,Waardenland,Waardenland,Waardenland,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Molenlanden,Zuid-Holland,45533,Waardenland,Waardenland,Waardenland,Samenwerking (RijnmondNet),Samergo,Utrechtzorg/WGV
Vijfheerenlanden,Utrecht,63263,Waardenland,Waardenland,Waardenland,Samenwerking (RijnmondNet),Raedelijn,Utrechtzorg/WGV
Albrandswaard,Zuid-Holland,26619,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Samenwerking (RijnmondNet),Samergo,DeRotterdamseZorg
Barendrecht,Zuid-Holland,48611,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Samenwerking (RijnmondNet),Samergo,DeRotterdamseZorg
Goeree-Overflakkee,Zuid-Holland,52688,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Samenwerking (RijnmondNet),Samergo,DeRotterdamseZorg
Hoeksche Waard,Zuid-Holland,91331,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Samenwerking (RijnmondNet),Samergo,DeRotterdamseZorg
Nissewaard,Zuid-Holland,88932,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Samenwerking (RijnmondNet),Samergo,DeRotterdamseZorg
Ridderkerk,Zuid-Holland,48050,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Samenwerking (RijnmondNet),Samergo,DeRotterdamseZorg
Voorne aan Zee,Zuid-Holland,74938,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Zuid-Hollandse Eilanden,Samenwerking (RijnmondNet),Samergo,DeRotterdamseZorg
Almere,Flevoland,232102,'t Gooi,Flevoland,Sigra,Lid,Elaa,Flever/Utrechtzorg
Dronten,Flevoland,45359,Flevoland,Flevoland,Flevoland Zuid,Samenwerking (Sigra),Proscoop,Flever
Lelystad,Flevoland,85384,Flevoland,Flevoland,Flevoland Zuid,Samenwerking (Sigra),Proscoop,Flever
